DFT Energy (eV), CHGNet Energy (eV)
-5.392379491428572,-5.392379491428572
-5.391528608333333,-5.391528608333333
-5.390833301190476,-5.390833301190476
-5.390281429761905,-5.390281429761905
-5.389726047380952,-5.389726047380952
-5.389360280952381,-5.389360280952381
-5.388959931666666,-5.388959931666666
-5.38873650904762,-5.38873650904762
-5.388604142619048,-5.388604142619048
-5.388666150714285,-5.388666150714285
-5.38899417547619,-5.38899417547619
-5.3893697921428565,-5.3893697921428565
-5.389880422857143,-5.389880422857143
-5.390356495714285,-5.390356495714285
-5.390975628333333,-5.390975628333333
-5.391630188095238,-5.391630188095238
-5.392393261190476,-5.392393261190476
-5.393118883809524,-5.393118883809524
-5.393903848095238,-5.393903848095238
-5.3945282400000005,-5.3945282400000005
-5.3952014111904765,-5.3952014111904765
-5.39562704452381,-5.39562704452381
-5.395957267380952,-5.395957267380952
-5.396390420238095,-5.396390420238095
-5.396811382857143,-5.396811382857143
-5.397158815714286,-5.397158815714286
-5.3974639714285715,-5.3974639714285715
-5.397746686190477,-5.397746686190477
-5.398036038809524,-5.398036038809524
-5.398251110238095,-5.398251110238095
-5.398397733333333,-5.398397733333333
-5.398685229523809,-5.398685229523809
-5.398825072857143,-5.398825072857143
-5.398951114761904,-5.398951114761904
-5.398902627380953,-5.398902627380953
-5.398914322142857,-5.398914322142857
-5.398905057857142,-5.398905057857142
-5.398883135238096,-5.398883135238096
-5.398766032619047,-5.398766032619047
-5.398520446190476,-5.398520446190476
-5.398273619047619,-5.398273619047619
-5.397943125476191,-5.397943125476191
-5.397640351904762,-5.397640351904762
-5.397550608095238,-5.397550608095238
-5.397393609285714,-5.397393609285714
-5.3973474504761905,-5.3973474504761905
-5.397100877619048,-5.397100877619048
-5.396876443809524,-5.396876443809524
-5.396637218571429,-5.396637218571429
-5.396434225,-5.396434225
-5.396332735,-5.396332735
-5.3962718,-5.3962718
-5.396179242380953,-5.396179242380953
-5.39612656452381,-5.39612656452381
-5.395957203333333,-5.395957203333333
-5.395897984523809,-5.395897984523809
-5.395855454285714,-5.395855454285714
-5.3959056245238095,-5.3959056245238095
-5.395881354047619,-5.395881354047619
-5.395807414047619,-5.395807414047619
-5.3957319169047615,-5.3957319169047615
-5.395765263571429,-5.395765263571429
-5.395788461190476,-5.395788461190476
-5.395663188571429,-5.395663188571429
-5.3955389771428575,-5.3955389771428575
-5.395412285714285,-5.395412285714285
-5.395304201666667,-5.395304201666667
-5.395234922619047,-5.395234922619047
-5.395129382619048,-5.395129382619048
-5.394981037857143,-5.394981037857143
-5.394757481190476,-5.394757481190476
-5.394506732619048,-5.394506732619048
-5.394340781666666,-5.394340781666666
-5.394248435714285,-5.394248435714285
-5.394069191904761,-5.394069191904761
-5.393808305714286,-5.393808305714286
-5.393588438571429,-5.393588438571429
-5.393392595714285,-5.393392595714285
-5.3933673197619045,-5.3933673197619045
-5.393402213809524,-5.393402213809524
-5.393458829761904,-5.393458829761904
-5.393657131666667,-5.393657131666667
-5.393754248571429,-5.393754248571429
-5.393885195952381,-5.393885195952381
-5.394060208571428,-5.394060208571428
-5.394259199047619,-5.394259199047619
-5.394715951190476,-5.394715951190476
-5.395221228095238,-5.395221228095238
-5.395778790952381,-5.395778790952381
-5.396279482857143,-5.396279482857143
-5.396726873095238,-5.396726873095238
-5.397207053333334,-5.397207053333334
-5.397759991904762,-5.397759991904762
-5.398286314761905,-5.398286314761905
-5.398817264761905,-5.398817264761905
-5.399296330238095,-5.399296330238095
-5.399766858571429,-5.399766858571429
-5.400304647857142,-5.400304647857142
-5.4008374054761905,-5.4008374054761905
-5.401343844285715,-5.401343844285715
-5.401858840238096,-5.401858840238096
-5.402243944285714,-5.402243944285714
-5.4023509221428565,-5.4023509221428565
-5.402535987619048,-5.402535987619048
-5.402591947857142,-5.402591947857142
-5.402593945,-5.402593945
-5.402468216190476,-5.402468216190476
-5.402305641904762,-5.402305641904762
-5.402130896904762,-5.402130896904762
-5.401974268571429,-5.401974268571429
-5.401787210238095,-5.401787210238095
-5.401563842619048,-5.401563842619048
-5.401328004761905,-5.401328004761905
-5.401118600238095,-5.401118600238095
-5.400735134523809,-5.400735134523809
-5.400296374285714,-5.400296374285714
-5.399854676428571,-5.399854676428571
-5.399419515952381,-5.399419515952381
-5.398986281666667,-5.398986281666667
-5.398681707142858,-5.398681707142858
-5.398280382619047,-5.398280382619047
-5.3978004438095235,-5.3978004438095235
-5.3973952983333335,-5.3973952983333335
-5.396972140714285,-5.396972140714285
-5.396542331904762,-5.396542331904762
-5.3960468554761905,-5.3960468554761905
-5.395596868571428,-5.395596868571428
-5.395406581428571,-5.395406581428571
-5.395272845476191,-5.395272845476191
-5.39505593452381,-5.39505593452381
-5.394795928571429,-5.394795928571429
-5.39461970047619,-5.39461970047619
-5.394557736666667,-5.394557736666667
-5.394585368095238,-5.394585368095238
-5.394621438809524,-5.394621438809524
-5.394602466666667,-5.394602466666667
-5.394664013809524,-5.394664013809524
-5.3948484640476195,-5.3948484640476195
-5.395008281666667,-5.395008281666667
-5.395116442619048,-5.395116442619048
-5.39506773452381,-5.39506773452381
-5.395152673809524,-5.395152673809524
-5.395199251190476,-5.395199251190476
-5.395234353095238,-5.395234353095238
-5.395252421904762,-5.395252421904762
-5.395274288095238,-5.395274288095238
-5.395256387380952,-5.395256387380952
-5.395247674285715,-5.395247674285715
-5.395264550714286,-5.395264550714286
-5.3952250402380955,-5.3952250402380955
-5.395216317380952,-5.395216317380952
-5.3952967761904755,-5.3952967761904755
-5.395523955,-5.395523955
-5.395704255476191,-5.395704255476191
-5.395783538333333,-5.395783538333333
-5.3958546,-5.3958546
-5.395854991666667,-5.395854991666667
-5.3958716326190475,-5.3958716326190475
-5.395826436190476,-5.395826436190476
-5.3956198211904765,-5.3956198211904765
-5.3954353500000005,-5.3954353500000005
-5.395356624047619,-5.395356624047619
-5.395284423095238,-5.395284423095238
-5.3952676707142855,-5.3952676707142855
-5.395228626190476,-5.395228626190476
-5.395166885952381,-5.395166885952381
-5.395239191666667,-5.395239191666667
-5.395306030952381,-5.395306030952381
-5.3954580552380955,-5.3954580552380955
-5.395542156904762,-5.395542156904762
-5.395412056190476,-5.395412056190476
-5.395327796428571,-5.395327796428571
-5.395216884761905,-5.395216884761905
-5.395002185714286,-5.395002185714286
-5.3947670597619055,-5.3947670597619055
-5.394576648571428,-5.394576648571428
-5.39444981,-5.39444981
-5.394356238809523,-5.394356238809523
-5.39435253,-5.39435253
-5.394499469761905,-5.394499469761905
-5.394701390238096,-5.394701390238096
